variant,n_seeds,n_reached,steps_to_teacher_median,steps_to_teacher_median_reaching,capped_at_budget,final_return_mean,final_return_sd
ibmarl_strict,5,5,392000.0,392000.0,False,-105.32274040222168,25.623459524575814
ibmarl_strict_gated_a0.1,2,2,136000.0,136000.0,False,-83.41980113983155,18.38725279223377
ibmarl_strict_gated_a0.4,5,5,104000.0,104000.0,False,-71.1899111175537,6.779615106388656
ibmarl_strict_gated_a1.6,2,2,120000.0,120000.0,False,-69.95143260955811,0.8383840316193761
