variant,n_seeds,n_reached,steps_to_teacher_median,steps_to_teacher_median_reaching,capped_at_budget,final_return_mean,final_return_sd
ibmarl_strict,5,5,456000.0,456000.0,False,-92.93377548217774,10.18179348956158
rlfd,5,4,584000.0,568000.0,True,-122.85171615600586,45.063974169180824
rft,3,0,600000.0,,True,-126.53831151326499,2.2335488131729315
maddpg,5,0,600000.0,,True,-194.63653686523438,5.671975405651817
ibmarl,5,3,456000.0,296000.0,True,-104.05417167663575,43.14262612395213
ibmarl_strict_hard,3,1,600000.0,200000.0,True,-118.72118453979493,60.72383896442199
ibmarl_strict_1critic,3,2,456000.0,360000.0,True,-89.38161900838217,10.991942382106458
