variant,n_seeds,n_reached,steps_to_teacher_median,steps_to_teacher_median_reaching,capped_at_budget,final_return_mean,final_return_sd
ibmarl_strict,5,5,392000.0,392000.0,False,-105.32274040222168,25.623459524575814
rlfd,5,5,296000.0,296000.0,False,-85.85149902343751,18.196147372354673
rft,5,5,296000.0,296000.0,False,-111.22163681030274,10.881432074928256
maddpg,5,0,600000.0,,True,-194.63653686523438,5.671975405651817
ibmarl,5,4,232000.0,216000.0,True,-111.57894416809083,53.60160287632555
ibmarl_strict_hard,3,3,328000.0,328000.0,False,-110.82661692301433,36.60998418246299
ibmarl_strict_1critic,3,3,200000.0,200000.0,False,-88.54990806579592,8.272171537564454
