variant,n_seeds,n_reached,steps_to_teacher_median,steps_to_teacher_median_reaching,capped_at_budget,final_return_mean,final_return_sd
ibmarl_strict,5,5,168000.0,168000.0,False,-84.53578071594238,14.801717908354359
rlfd,5,5,296000.0,296000.0,False,-85.85149902343751,18.196147372354673
rft,5,5,296000.0,296000.0,False,-111.22163681030274,10.881432074928256
maddpg,5,0,600000.0,,True,-194.63653686523438,5.671975405651817
ibmarl,5,5,136000.0,136000.0,False,-81.57086784362794,13.892923525967094
ibmarl_strict_hard,3,3,168000.0,168000.0,False,-80.74720458984375,12.397835638629331
ibmarl_strict_1critic,3,3,168000.0,168000.0,False,-77.3344632466634,3.612796102351655
